s	cc	g	d	igcell	fee	db	pmt
0	7	0	8	260	12	2	13
0	7	1	0	261	12	1	4
0	7	1	1	262	12	1	2
0	7	1	2	263	12	1	1
0	7	1	3	264	12	1	8
0	7	1	4	265	12	1	7
0	7	1	5	266	12	1	5
0	7	1	6	267	12	2	4
0	7	1	7	268	12	2	2
0	7	1	8	269	12	2	1
0	7	2	0	270	12	2	9
0	7	2	1	271	12	2	10
0	7	2	2	272	12	2	12
0	7	2	3	273	12	3	13
0	7	2	4	274	12	3	15
0	7	2	5	275	12	3	16
0	7	2	6	276	12	3	9
0	7	2	7	277	12	3	10
0	7	2	8	278	12	3	12
0	7	3	0	279	12	2	5
0	7	3	1	280	12	2	7
0	7	3	2	281	12	2	8
0	7	3	3	282	12	3	1
0	7	3	4	283	12	3	2
0	7	3	5	284	12	3	4
0	7	3	6	285	12	3	5
0	7	3	7	286	12	3	7
0	7	3	8	287	12	3	8
0	8	0	0	288	7	3	8
0	8	0	1	289	7	3	7
0	8	0	2	290	7	3	5
0	8	0	3	291	7	3	4
0	8	0	4	292	7	3	2
0	8	0	5	293	7	3	1
0	8	0	6	294	7	2	8
0	8	0	7	295	7	2	7
0	8	0	8	296	7	2	5
0	8	1	0	297	7	3	12
0	8	1	1	298	7	3	10
0	8	1	2	299	7	3	9
0	8	1	3	300	7	3	16
0	8	1	4	301	7	3	15
0	8	1	5	302	7	3	13
0	8	1	6	303	7	2	12
0	8	1	7	304	7	2	10
0	8	1	8	305	7	2	9
0	8	2	0	306	7	2	1
0	8	2	1	307	7	2	2
0	8	2	2	308	7	2	4
0	8	2	3	309	7	1	5
0	8	2	4	310	7	1	7
0	8	2	5	311	7	1	8
0	8	2	6	312	7	1	1
0	8	2	7	313	7	1	2
0	8	2	8	314	7	1	4
0	8	3	0	315	7	2	13
0	8	3	1	316	7	2	15
0	8	3	2	317	7	2	16
0	8	3	3	318	7	1	9
0	8	3	4	319	7	1	10
0	8	3	5	320	7	1	12
0	8	3	6	321	7	1	13
0	8	3	7	322	7	1	15
0	8	3	8	323	7	1	16
0	9	0	0	324	2	3	8
0	9	0	1	325	2	3	7
0	9	0	2	326	2	3	5
0	9	0	3	327	2	3	4
0	9	0	4	328	2	3	2
0	9	0	5	329	2	3	1
0	9	0	6	330	2	2	8
0	9	0	7	331	2	2	7
0	9	0	8	332	2	2	5
0	9	1	0	333	2	3	12
0	9	1	1	334	2	3	10
0	9	1	2	335	2	3	9
0	9	1	3	336	2	3	16
0	9	1	4	337	2	3	15
0	9	1	5	338	2	3	13
0	9	1	6	339	2	2	12
0	9	1	7	340	2	2	10
0	9	1	8	341	2	2	9
0	9	2	0	342	2	2	1
0	9	2	1	343	2	2	2
0	9	2	2	344	2	2	4
0	9	2	3	345	2	1	5
0	9	2	4	346	2	1	7
0	9	2	5	347	2	1	8
0	9	2	6	348	2	1	1
0	9	2	7	349	2	1	2
0	9	2	8	350	2	1	4
0	9	3	0	351	2	2	13
0	9	3	1	352	2	2	15
0	9	3	2	353	2	2	16
0	9	3	3	354	2	1	9
0	9	3	4	355	2	1	10
0	9	3	5	356	2	1	12
0	9	3	6	357	2	1	13
0	9	3	7	358	2	1	15
0	9	3	8	359	2	1	16
0	10	0	0	360	23	3	8
0	10	0	1	361	23	3	7
0	10	0	2	362	23	3	5
0	10	0	3	363	23	3	4
0	10	0	4	364	23	3	2
0	10	0	5	365	23	3	1
0	10	0	6	366	23	2	8
0	10	0	7	367	23	2	7
0	10	0	8	368	23	2	5
0	10	1	0	369	23	3	12
0	10	1	1	370	23	3	10
0	10	1	2	371	23	3	9
0	10	1	3	372	23	3	16
0	10	1	4	373	23	3	15
0	10	1	5	374	23	3	13
0	10	1	6	375	23	2	12
0	10	1	7	376	23	2	10
0	10	1	8	377	23	2	9
0	10	2	0	378	23	2	1
0	10	2	1	379	23	2	2
0	10	2	2	380	23	2	4
0	10	2	3	381	23	1	5
0	10	2	4	382	23	1	7
0	10	2	5	383	23	1	8
0	10	2	6	384	23	1	1
0	10	2	7	385	23	1	2
0	10	2	8	386	23	1	4
0	10	3	0	387	23	2	13
0	10	3	1	388	23	2	15
0	10	3	2	389	23	2	16
0	10	3	3	390	23	1	9
0	10	3	4	391	23	1	10
0	10	3	5	392	23	1	12
0	10	3	6	393	23	1	13
0	10	3	7	394	23	1	15
0	10	3	8	395	23	1	16
0	11	0	0	396	18	3	8
0	11	0	1	397	18	3	7
0	11	0	2	398	18	3	5
0	11	0	3	399	18	3	4
0	11	0	4	400	18	3	2
0	11	0	5	401	18	3	1
0	11	0	6	402	18	2	8
0	11	0	7	403	18	2	7
0	11	0	8	404	18	2	5
0	11	1	0	405	18	3	12
0	11	1	1	406	18	3	10
0	11	1	2	407	18	3	9
0	11	1	3	408	18	3	16
0	11	1	4	409	18	3	15
0	11	1	5	410	18	3	13
0	11	1	6	411	18	2	12
0	11	1	7	412	18	2	10
0	11	1	8	413	18	2	9
0	11	2	0	414	18	2	1
0	11	2	1	415	18	2	2
0	11	2	2	416	18	2	4
0	11	2	3	417	18	1	5
0	11	2	4	418	18	1	7
0	11	2	5	419	18	1	8
0	11	2	6	420	18	1	1
0	11	2	7	421	18	1	2
0	11	2	8	422	18	1	4
0	11	3	0	423	18	2	13
0	11	3	1	424	18	2	15
0	11	3	2	425	18	2	16
0	11	3	3	426	18	1	9
0	11	3	4	427	18	1	10
0	11	3	5	428	18	1	12
0	11	3	6	429	18	1	13
0	11	3	7	430	18	1	15
0	11	3	8	431	18	1	16
0	12	0	0	432	13	3	8
0	12	0	1	433	13	3	7
0	12	0	2	434	13	3	5
0	12	0	3	435	13	3	4
0	12	0	4	436	13	3	2
0	12	0	5	437	13	3	1
0	12	0	6	438	13	2	8
0	12	0	7	439	13	2	7
0	12	0	8	440	13	2	5
0	12	1	0	441	13	3	12
0	12	1	1	442	13	3	10
0	12	1	2	443	13	3	9
0	12	1	3	444	13	3	16
0	12	1	4	445	13	3	15
0	12	1	5	446	13	3	13
0	12	1	6	447	13	2	12
0	12	1	7	448	13	2	10
0	12	1	8	449	13	2	9
0	12	2	0	450	13	2	1
0	12	2	1	451	13	2	2
0	12	2	2	452	13	2	4
0	12	2	3	453	13	1	5
0	12	2	4	454	13	1	7
0	12	2	5	455	13	1	8
0	12	2	6	456	13	1	1
0	12	2	7	457	13	1	2
0	12	2	8	458	13	1	4
0	12	3	0	459	13	2	13
0	12	3	1	460	13	2	15
0	12	3	2	461	13	2	16
0	12	3	3	462	13	1	9
0	12	3	4	463	13	1	10
0	12	3	5	464	13	1	12
0	12	3	6	465	13	1	13
0	12	3	7	466	13	1	15
0	12	3	8	467	13	1	16
0	13	0	0	468	8	3	8
0	13	0	1	469	8	3	7
0	13	0	2	470	8	3	5
0	13	0	3	471	8	3	4
0	13	0	4	472	8	3	2
0	13	0	5	473	8	3	1
0	13	0	6	474	8	2	8
0	13	0	7	475	8	2	7
0	13	0	8	476	8	2	5
0	13	1	0	477	8	3	12
0	13	1	1	478	8	3	10
0	13	1	2	479	8	3	9
0	13	1	3	480	8	3	16
0	13	1	4	481	8	3	15
0	13	1	5	482	8	3	13
0	13	1	6	483	8	2	12
0	13	1	7	484	8	2	10
0	13	1	8	485	8	2	9
0	13	2	0	486	8	2	1
0	13	2	1	487	8	2	2
0	13	2	2	488	8	2	4
0	13	2	3	489	8	1	5
0	13	2	4	490	8	1	7
0	13	2	5	491	8	1	8
0	13	2	6	492	8	1	1
0	13	2	7	493	8	1	2
0	13	2	8	494	8	1	4
0	13	3	0	495	8	2	13
0	13	3	1	496	8	2	15
0	13	3	2	497	8	2	16
0	13	3	3	498	8	1	9
0	13	3	4	499	8	1	10
0	13	3	5	500	8	1	12
0	13	3	6	501	8	1	13
0	13	3	7	502	8	1	15
0	13	3	8	503	8	1	16
0	14	0	0	504	3	3	8
0	14	0	1	505	3	3	7
0	14	0	2	506	3	3	5
0	14	0	3	507	3	3	4
0	14	0	4	508	3	3	2
0	14	0	5	509	3	3	1
0	14	0	6	510	3	2	8
0	14	0	7	511	3	2	7
0	14	0	8	512	3	2	5
0	14	1	0	513	3	3	12
0	14	1	1	514	3	3	10
0	14	1	2	515	3	3	9
0	14	1	3	516	3	3	16
0	14	1	4	517	3	3	15
0	14	1	5	518	3	3	13
0	14	1	6	519	3	2	12
